Quest ID,Quest Grade,Map Biome,Structure,Quest Boss Type,Quest Boss Minion Type,Mob Variety (INT),Structure Information,Quest Objective,Quest Level,Suitable Weapon Type,Suitable Attribute,Suitable Party Size,Loot Drop Grade
6193,E,Deep Ocean,None,Thorn Bush Awakened,Bat,3,"1 Thorn Bush Awakened + 1 Rat Lieutenant, 4 Slime Smalls, 4 Dust Bunny (Cursed) Fodder",Slay Thorn Bush Awakened as your first officially registered hunter training quest,40,Soul Sword,Nature,1,F
6194,F,Coral Reef,None,Aggressive Rabbit (Cursed),Dog Stray,1,"1 Aggressive Rabbit (Cursed) (Elite), 4 Mischievous Sprites, 5 Small Bats, 2 Lazy Undeads",Swat Aggressive Rabbit (Cursed) away from the school children's picnic area,20,Water Staff,Astral / Physical,3,F
6195,E,Astral Void,None,Skeleton Captain Clatterbones,Imp Spark,4,"1 Skeleton Captain Clatterbones + 1 Slime Small Lieutenant, 5 Mischievous Pixies, 4 Cave Cricket Fodder",Defeat Skeleton Captain Clatterbones and gather two samples of its hide for alchemy use,40,Magic Tome,Holy / Lightning,3,E
6196,C,Desert,village,Bog Witch Mossblight,Bandit Thug,3,"1 Bog Witch Mossblight + 1 Marsh Sprite Lieutenant, 4 Giant Rats, 2 Slime Blob Fodder",Defeat Bog Witch Mossblight and recover the stolen guild funds from its hideout,40,Glaive / Scimitar,Necrotic,5,C
6197,E,Coral Reef,None,Giant Rat Queen Mangefur,Mischievous Pixie,3,"1 Giant Rat Queen Mangefur, 6 Elite Slime Smalls, 3 Rat Guardians, 3 Scout Imp Sparks",Exterminate the small pack organized by Giant Rat Queen Mangefur near the river,20,Wand,Lightning / Order,1,E
6198,S,Jungle,None,Harpy Empress Screechara,Ghoul Warrior,10,"1 Harpy Empress Screechara, 24 Stone Golems, 6 Bone Constructs",Kill Harpy Empress Screechara to recover a legendary artifact stolen generations ago,60,Spear,Wind,6,A
6199,D,Coral Reef,None,Stone Golem Rockfist,Stray Dog,4,"1 Stone Golem Rockfist, 10 Elite Undead Farmers, 10 Feral Cat Guardians, 6 Scout Rat Packs",Drive Stone Golem Rockfist and its pack away from local farmsteads,30,Water Staff,Earth / Arcane,3,D
6200,F,Desert,temple,Mud Crab Pincher,Zombie Shuffle,2,"1 Mud Crab Pincher + 1 Imp Jr Lieutenant, 3 Enchanted Leafs, 2 Rat Fodder",Exterminate Mud Crab Pincher and its tiny group from the inn's basement,10,Scimitar / Bow,Radiant,3,F
6201,E,Deep Ocean,None,Dust Elemental Sandwhirl,Slime Small,2,"1 Dust Elemental Sandwhirl, 5 Bats, 4 Mischievous Pixies",Defeat Dust Elemental Sandwhirl as part of your rookie Guild training exercise,20,Wand,Arcane / Wind,1,E
6202,S,Crystal Wastes,dungeon,Wyvern Alpha Stormstrike,Naga Guard,9,"1 Wyvern Alpha Stormstrike, 24 Elite Wyvern Hatchlings, 30 Naga Guard Guardians, 24 Scout Ghoul Warriors",Hunt Wyvern Alpha Stormstrike terrorizing all northern settlements and trade routes,60,Runic Blade / Magic Tome,Lightning,6,A
6203,B,Abyssal Rift,None,Dire Bear Alpha Clawrend,Zombie Brute,7,"1 Dire Bear Alpha Clawrend (Empowered), 15 Imp Fighter Champions, 15 Kobold Warriors",Clear the monster nest under Dire Bear Alpha Clawrend's command in the abandoned area,60,Arcane Staff,Holy,5,B
6204,E,Plains,None,Goblin Shaman Murkfire,Mushroom Walker,2,"1 Goblin Shaman Murkfire, 4 Elite Cave Crickets, 2 Zombie Stumbler Guardians, 4 Scout Mushroom Walkers",Clear Goblin Shaman Murkfire from the water well it has contaminated,40,Bow,Physical,2,F
6205,E,Cursed Badlands,ruins,Bandit Leader Gruffneck,Imp Spark,2,"1 Bandit Leader Gruffneck, 4 Elite Bats, 1 Cave Cricket Guardians, 3 Scout Zombie Stumblers",Defeat Bandit Leader Gruffneck as part of your rookie Guild training exercise,40,Runic Blade / Soul Sword,Physical,1,F
6206,E,Fungal Depths,None,Imp Leader Cinderwick,Imp Spark,4,"1 Imp Leader Cinderwick, 4 Cave Crickets, 4 Mushroom Walkers",Kill Imp Leader Cinderwick and collect its claws for the leatherworker's commission,40,Mace,Radiant / Earth,1,F
6207,B,Underdark,None,Mermaid Witch Coralweave,Centaur Scout,5,"1 Mermaid Witch Coralweave (Elite), 18 Skeletal Archers, 3 Imp Fighters, 9 Merfolk Warriors",Defeat Mermaid Witch Coralweave and collect its signature trophy as proof of the kill,70,Hand Cannon / Staff,Water,5,B
6208,D,Feywilds,cave,Slime King Oozeborn,Skeleton Rattle,4,"1 Slime King Oozeborn, 6 Cave Spider Smalls, 10 Undead Farmers",Kill Slime King Oozeborn and collect the posted bounty from the Guild board,20,Bow,Poison,4,E
6209,A,Jungle,town,Merfolk Tide Queen,Undead Soldier,7,"1 Merfolk Tide Queen, 20 Dire Wolfs, 12 Gnoll Fighters",Track and kill Merfolk Tide Queen stalking pilgrims on the sacred road to the capital,50,Bow,Earth / Arcane,4,A
6210,S,Crystal Wastes,floating fortress,Vampire Lord Draventus,Bone Construct,9,"1 Vampire Lord Draventus, 24 Naga Guards, 6 Wyvern Hatchlings",Kill Vampire Lord Draventus to recover a legendary artifact stolen generations ago,70,Rapier,Dark / Lightning,6,A
6211,C,Floating Isles,None,Plague Rat King Gnawfester,Kobold Digger,3,"1 Plague Rat King Gnawfester (Elite), 10 Wild Dogs, 6 Bandit Thugs, 8 Kobold Diggers",Drive out Plague Rat King Gnawfester from the ruins used as a shelter by locals,40,Bow / Halberd,Poison,5,D
6212,D,Underground Caverns,None,Skeletal Champion Crackbone,Rat Pack,3,"1 Skeletal Champion Crackbone (Elite), 10 Cave Bats, 10 Bog Frog Poisoneds, 4 Mudcrabs",Kill Skeletal Champion Crackbone and collect the posted bounty from the Guild board,20,Warhammer,Necrotic,2,E
6213,C,Plains,None,Harpy Matron Screech,Cave Moth,4,"1 Harpy Matron Screech + 1 Cave Moth Lieutenant, 4 Marsh Sprites, 2 Orc Lackey Fodder",Slay Harpy Matron Screech and its minions harassing construction workers,30,Halberd,Wind,5,C
6214,SS,Abyssal Rift,fort,Death Knight Commander Varun,Frost Revenant,6,"1 Death Knight Commander Varun, 48 Elite Abyssal Crawlers, 24 Fire Titan Guardians, 32 Scout Dread Specters",Kill Death Knight Commander Varun and prevent the summoning of an ancient god it serves,80,Arcane Staff / Greatsword,Psychic,6,S
6215,F,Fungal Depths,None,Slime Basic,Lazy Undead,3,"1 Slime Basic (Elite), 6 Mischievous Sprites, 4 Lazy Undeads, 4 Zombie Shuffles",Swat Slime Basic away from the school children's picnic area,10,Trident,Poison,1,F
6216,E,Plains,None,Slime Mother Bubbleblob,Mushroom Walker,3,"1 Slime Mother Bubbleblob, 2 Stray Mutts, 2 Cave Crickets",Defeat Slime Mother Bubbleblob and gather two samples of its hide for alchemy use,20,Spear / Halberd,Poison / Holy,1,F
6217,SS,Tundra,colosseum,Kraken Lord Tentachor,Dire Wraith,9,"1 Kraken Lord Tentachor, 40 Elite Shadow Assassin Elites, 32 Dark Knight Elite Guardians, 24 Scout Storm Elementals",Hunt Kraken Lord Tentachor that has decimated three elite adventurer parties already,80,Greatsword,Water,7,SS
6218,F,Fungal Depths,None,Goblin Warrior Clubs,Enchanted Leaf,3,"1 Goblin Warrior Clubs (Empowered), 5 Slime Tiny Champions, 2 Zombie Shuffles",Shoo away Goblin Warrior Clubs from the flower market — do not use fire,0,Spear,Physical,2,F
6219,E,Ethereal Mist,dungeon,Feral Lynx Pack Leader,Slime Small,3,"1 Feral Lynx Pack Leader (Elite), 3 Mischievous Pixies, 3 Feral Chickens, 3 Imp Sparks",Slay Feral Lynx Pack Leader as your first officially registered hunter training quest,20,Soul Sword,Chaos,3,E
6220,B,Cursed Badlands,None,Mermaid Witch Coralweave,Imp Fighter,3,"1 Mermaid Witch Coralweave (Empowered), 9 Cave Troll Champions, 6 Giant Spiders",Protect the village from Mermaid Witch Coralweave's raiding party advancing at nightfall,40,Runic Blade / Scythe,Water / Astral,5,C
6221,S,Shadowfell,tower,Chimera Lord Triformis,Ghoul Warrior,7,"1 Chimera Lord Triformis (Empowered), 30 Vampire Thrall Champions, 30 Bone Constructs",Kill Chimera Lord Triformis to recover a legendary artifact stolen generations ago,80,Rapier,Fire / Wind,6,S
6222,B,Fungal Depths,None,Kobold Shaman Scalespell,Kobold Warrior,5,"1 Kobold Shaman Scalespell (Elite), 6 Dark Elf Scouts, 6 Ogre Grunts, 9 Hag Spawns",Kill Kobold Shaman Scalespell that has been ambushing traders on the eastern road,40,Staff,Fire,4,B
6223,D,Shadowfell,None,Zombie Hulk Rotgut,Mudcrab,5,"1 Zombie Hulk Rotgut (Empowered), 4 Goblin Runt Scout Champions, 6 Undead Farmers",Drive Zombie Hulk Rotgut and its pack away from local farmsteads,40,Dagger / Rapier,Holy,2,D
6224,SS,Underdark,temple,Shadow Sovereign Noctraul,Storm Elemental,9,"1 Shadow Sovereign Noctraul, 48 Elite Dark Knight Elites, 32 Frost Revenant Guardians, 8 Scout Arch-Ghouls",Conquer the fortress of Shadow Sovereign Noctraul and free thousands of enslaved citizens,70,Staff / Hand Cannon,Shadow,4,S
6225,E,Mountains,None,Giant Rat Queen Mangefur,Feral Chicken,2,"1 Giant Rat Queen Mangefur (Empowered), 3 Dust Bunny (Cursed) Champions, 3 Mushroom Walkers",Slay Giant Rat Queen Mangefur as your first officially registered hunter training quest,40,Greatsword,Necrotic,1,F
6226,SSS,Ethereal Mist,shrine,Astral God-Dragon Veraxthos,Wyvern Elite,10,"1 Astral God-Dragon Veraxthos (Elite), 36 Phoenix Reborns, 24 Undead Colossuss, 24 Elder Draconids",Defeat Astral God-Dragon Veraxthos and recover the shattered pieces of the World Crystal,80,Soul Sword,Fire,5,SSS + [LEGENDARY] Starfall Katana (Meteorite Blade)
6227,F,Tundra,None,Wild Boar Gruntling,Zombie Shuffle,1,"1 Wild Boar Gruntling, 4 Insect Swarms, 2 Enchanted Leafs",Defeat Wild Boar Gruntling in the starter training zone under instructor supervision,10,Warhammer / Axe,Order,1,F
6228,F,Obsidian Fields,None,Imp Sparklet,Broken Skeleton,3,"1 Imp Sparklet (Empowered), 4 Enchanted Leaf Champions, 4 Broken Skeletons",Collect basic materials from Imp Sparklet as part of a resource gathering mission,20,Axe,Void,2,F
6229,C,Underground Caverns,obsidian keep,Sand Worm Dunestalker,Cultist Initiate,4,"1 Sand Worm Dunestalker (Empowered), 4 Wild Dog Champions, 6 Imps",Neutralize Sand Worm Dunestalker blocking the only road connecting two towns,50,Warhammer / Dagger,Earth,3,C
6230,C,Feywilds,rift gate,Ghoul Leader Decompose,Marsh Sprite,5,"1 Ghoul Leader Decompose (Empowered), 4 Skeleton Basic Champions, 2 Giant Rats",Clear the infestation around the rift gate led by Ghoul Leader Decompose,50,Rapier,Astral,5,C
6231,F,Underdark,None,Wolf Grayfang,Mischievous Sprite,2,"1 Wolf Grayfang (Empowered), 6 Slime Tiny Champions, 4 Insect Swarms",Exterminate Wolf Grayfang and its tiny group from the inn's basement,20,Hand Cannon,Poison / Void,1,F
6232,D,Underdark,None,Undead Soldier Bonegrind,Imp Familiar,2,"1 Undead Soldier Bonegrind (Empowered), 4 Slime Drop Champions, 2 Goblin Runt Scouts",Drive Undead Soldier Bonegrind and its pack away from local farmsteads,30,Axe,Holy / Psychic,2,E
6233,E,Feywilds,None,Undead Farmer Pitchfork,Dust Bunny (Cursed),2,"1 Undead Farmer Pitchfork + 1 Bat Lieutenant, 5 Mushroom Walkers, 1 Imp Spark Fodder",Defeat Undead Farmer Pitchfork and gather two samples of its hide for alchemy use,40,Chakram / Wand,Holy,4,F
6234,S,Frozen Wastes,citadel,Chimera Lord Triformis,Ghoul Warrior,8,"1 Chimera Lord Triformis, 12 Ghoul Warriors, 18 Chimera Spawns",Kill Chimera Lord Triformis to recover a legendary artifact stolen generations ago,60,Crossbow,Fire / Shadow,4,A
6235,C,Abyssal Rift,ruins,Shadow Imp Captain,Marsh Sprite,3,"1 Shadow Imp Captain + 1 Zombie Walker Lieutenant, 2 Cultist Initiates, 6 Slime Blob Fodder",Clear the cave overrun by monsters rallying under Shadow Imp Captain,40,Arcane Staff / Wand,Shadow,3,D
6236,F,Petrified Forest,None,Angry Villager (Enchanted),Baby Goblin,2,"1 Angry Villager (Enchanted) + 1 Insect Swarm Lieutenant, 3 Slime Tinys, 4 Mischievous Sprite Fodder",Shoo away Angry Villager (Enchanted) from the flower market — do not use fire,10,Wand / Bow,Void,2,F
6237,E,Shadowfell,None,Specter Drifter Coldgaze,Dust Bunny (Cursed),2,"1 Specter Drifter Coldgaze (Elite), 4 Bats, 3 Stray Mutts, 1 Skeleton Fragments",Defeat Specter Drifter Coldgaze as part of your rookie Guild training exercise,10,Rapier,Radiant / Order,3,E
6238,F,Jungle,camp,Wild Boar Gruntling,Slime Tiny,2,"1 Wild Boar Gruntling (Elite), 5 Imp Jrs, 4 Slime Tinys, 4 Baby Goblins",Collect basic materials from Wild Boar Gruntling as part of a resource gathering mission,20,Bow / Spear,Earth,1,F
6239,F,Shadowfell,None,Baby Kobold Thrower,Mischievous Sprite,1,"1 Baby Kobold Thrower (Empowered), 2 Baby Goblin Champions, 2 Spore Puffs",Drive away Baby Kobold Thrower that keeps startling farm animals in the northern field,10,Rapier / Soul Sword,Water,3,F
6240,B,Petrified Forest,village,Vampire Hunter (Turned) Bloodthirst,Zombie Brute,4,"1 Vampire Hunter (Turned) Bloodthirst, 18 Cave Trolls, 12 Wraith Shadows",Defeat Vampire Hunter (Turned) Bloodthirst and collect its signature trophy as proof of the kill,60,Axe / Mace,Dark,5,B
6241,D,Shadowfell,palace,Undead Soldier Bonegrind,Skeleton Rattle,2,"1 Undead Soldier Bonegrind, 6 Elite Goblin Runt Scouts, 10 Bog Frog Poisoned Guardians, 8 Scout Rat Packs",Slay Undead Soldier Bonegrind and retrieve the missing adventurer's identification tag,50,Soul Sword,Holy / Shadow,4,E
6242,S,Astral Void,haunted manor,Gargoyle Lord Stonewing,Dark Sorcerer Apprentice,10,"1 Gargoyle Lord Stonewing (Elite), 18 Vampire Thralls, 12 Elemental Spirits, 12 Shadow Wolf Packs",Defeat Gargoyle Lord Stonewing before it destroys the last standing bridge across the cursed gorge,60,Arcane Staff,Void / Lightning,6,S
6243,A,Fungal Depths,city,Djinn Storm Lord,Medusa Snake,8,"1 Djinn Storm Lord + 1 Hobgoblin Warrior Lieutenant, 20 Gnoll Fighters, 8 Golem Shard Fodder",Rescue the kidnapped noble's children held in Djinn Storm Lord's camp,80,Wand,Lightning,4,B
6244,E,Shadowfell,None,Fishman Raider Gillclaw,Goblin Child Mob,2,"1 Fishman Raider Gillclaw (Empowered), 3 Goblin Child Mob Champions, 4 Imp Sparks",Chase Fishman Raider Gillclaw away from the village before it becomes a real threat,40,Wand,Dark / Shadow,2,E
6245,S,Astral Void,floating fortress,Basilisk Ancient Stonegaze,Chimera Spawn,10,"1 Basilisk Ancient Stonegaze (Empowered), 12 Elemental Spirit Champions, 18 Dark Sorcerer Apprentices",Eliminate Basilisk Ancient Stonegaze whose lair is poisoning the region's entire water supply,60,Magic Tome,Arcane,4,A
6246,E,Mountains,cave,Skeleton Captain Clatterbones,Cave Cricket,2,"1 Skeleton Captain Clatterbones (Empowered), 6 Skeleton Fragment Champions, 4 Mushroom Walkers",Chase Skeleton Captain Clatterbones away from the village before it becomes a real threat,20,Warhammer,Holy,4,E
6247,B,Plains,celestial sanctum,Dark Elf Assassin Shadowblade,Giant Spider,3,"1 Dark Elf Assassin Shadowblade (Empowered), 12 Kobold Warrior Champions, 9 Dark Elf Scouts",Clear Dark Elf Assassin Shadowblade's infestation from the old celestial sanctum on the hill,70,Halberd,Shadow / Wind,3,C
6248,E,Forest,shrine,Skeleton Captain Clatterbones,Skeleton Fragment,2,"1 Skeleton Captain Clatterbones (Empowered), 3 Bat Champions, 1 Rats",Kill Skeleton Captain Clatterbones and collect its claws for the leatherworker's commission,10,Staff / Dagger,Holy / Lightning,4,E
6249,B,Crystal Wastes,crypt,Wraith Captain Hollowgaze,Plague Rat,5,"1 Wraith Captain Hollowgaze + 1 Goblin Fighter Lieutenant, 12 Wraith Shadows, 6 Centaur Scout Fodder",Retrieve stolen goods from Wraith Captain Hollowgaze's camp before they disappear across the border,60,Wand / Magic Tome,Radiant / Wind,5,B
6250,S,Jungle,labyrinth,Demon General Xorthan,Stone Golem,6,"1 Demon General Xorthan (Elite), 30 Ghoul Warriors, 6 Chimera Spawns, 24 Elemental Spirits",Clear the ancient dungeon and destroy Demon General Xorthan within its deepest chamber,60,Spear,Dark,4,S
6251,F,Swamp,None,Animated Scarecrow,Slime Tiny,1,"1 Animated Scarecrow (Empowered), 5 Zombie Shuffle Champions, 1 Imp Jrs",Kill Animated Scarecrow as your very first beginner's quest — welcome to the Guild,20,Wand / Staff,Chaos,3,F
6252,F,Forest,None,Undead Chicken Swarm,Broken Skeleton,1,"1 Undead Chicken Swarm, 5 Lazy Undeads, 1 Broken Skeletons",Defeat Undead Chicken Swarm in the starter training zone under instructor supervision,20,Dagger,Holy,3,F
6253,E,Underdark,None,Forest Sprite Corrupted,Mischievous Pixie,2,"1 Forest Sprite Corrupted (Empowered), 3 Goblin Child Mob Champions, 5 Slime Smalls",Kill Forest Sprite Corrupted and return physical proof of the kill to the Guild,40,Axe / Hand Cannon,Nature,4,F
6254,A,Ethereal Mist,None,Cockatrice Elder,Undead Soldier,6,"1 Cockatrice Elder (Elite), 16 Golem Shards, 4 Werewolf Thralls, 4 Orc Warriors",Clear the area of all monsters rallied under Cockatrice Elder's command,60,Arcane Staff,Ice / Astral,6,B
6255,B,Mountains,None,Hag Coven Leader Hexwart,Imp Fighter,4,"1 Hag Coven Leader Hexwart (Empowered), 12 Imp Fighter Champions, 15 Zombie Brutes",Retrieve stolen goods from Hag Coven Leader Hexwart's camp before they disappear across the border,70,Axe,Order,3,B
6256,C,Shadowfell,shipwreck,Bandit Lord Cutthroat,Kobold Digger,3,"1 Bandit Lord Cutthroat, 6 Elite Giant Rats, 8 Zombie Walker Guardians, 2 Scout Cultist Initiates",Exterminate the monster group under Bandit Lord Cutthroat's command near the village,60,Rapier,Physical,3,C
6257,E,Mountains,None,Skeleton Captain Clatterbones,Mushroom Walker,2,"1 Skeleton Captain Clatterbones, 6 Mischievous Pixies, 5 Cave Crickets",Slay Skeleton Captain Clatterbones as your first officially registered hunter training quest,40,Axe,Holy,4,F
6258,F,Volcanic,palace,Mushroom Spore Walker,Small Bat,3,"1 Mushroom Spore Walker, 2 Zombie Shuffles, 1 Slime Tinys",Swat Mushroom Spore Walker away from the school children's picnic area,10,Warhammer / Axe,Poison,3,F
6259,D,Feywilds,None,Gnoll Hunter Scarfang,Zombie Drifter,5,"1 Gnoll Hunter Scarfang, 4 Elite Zombie Drifters, 4 Stray Dog Guardians, 2 Scout Imp Familiars",Slay Gnoll Hunter Scarfang and retrieve the missing adventurer's identification tag,20,Bow,Physical / Chaos,4,E
6260,F,Cursed Badlands,None,Undead Chicken Swarm,Mischievous Sprite,3,"1 Undead Chicken Swarm + 1 Insect Swarm Lieutenant, 4 Dog Strays, 3 Baby Goblin Fodder","Kill Undead Chicken Swarm and return proof — it's just one, you'll be fine",10,Scythe / Wand,Holy / Astral,3,F
6261,B,Floating Isles,ruins,Medusa Outcast Stonestare,Cave Troll,3,"1 Medusa Outcast Stonestare, 9 Giant Spiders, 3 Centaur Scouts",Protect the village from Medusa Outcast Stonestare's raiding party advancing at nightfall,60,Spear,Psychic,4,B
6262,A,Tundra,rift gate,Frost Wolf Alpha Glacierfang,Golem Shard,8,"1 Frost Wolf Alpha Glacierfang (Elite), 16 Werewolf Thralls, 16 Medusa Snakes, 4 Hobgoblin Warriors",Hunt Frost Wolf Alpha Glacierfang that has been shutting down the kingdom's most profitable mines,60,Warhammer / Maul,Ice / Poison,4,A
6263,D,Swamp,None,Slime King Oozeborn,Rat Pack,5,"1 Slime King Oozeborn (Empowered), 8 Goblin Runt Scout Champions, 8 Stray Dogs",Kill Slime King Oozeborn and collect the posted bounty from the Guild board,40,Wand,Poison / Water,2,E
6264,F,Coral Reef,None,Bandit Scout Patchwork,Dog Stray,1,"1 Bandit Scout Patchwork (Elite), 2 Insect Swarms, 2 Zombie Shuffles, 3 Rats",Defeat Bandit Scout Patchwork in the starter training zone under instructor supervision,0,Water Staff / Crossbow,Physical,2,F
6265,F,Obsidian Fields,None,Zombie Stumble,Slime Tiny,2,"1 Zombie Stumble + 1 Dog Stray Lieutenant, 4 Slime Tinys, 2 Broken Skeleton Fodder","Kill Zombie Stumble and return proof — it's just one, you'll be fine",20,Warhammer,Holy,1,F
6266,B,Shadowfell,None,Rock Golem Quarryman,Kobold Warrior,6,"1 Rock Golem Quarryman (Empowered), 15 Skeletal Archer Champions, 6 Centaur Scouts",Defeat Rock Golem Quarryman and collect its signature trophy as proof of the kill,40,Wand / Rapier,Earth,4,C
6267,C,Forest,shrine,Plague Rat King Gnawfester,Imp,5,"1 Plague Rat King Gnawfester + 1 Bat Swarm Lieutenant, 2 Imps, 8 Wild Dog Fodder",Kill Plague Rat King Gnawfester that has been raiding the local fishing docks at night,60,Bow,Poison,5,C
6268,E,Abyssal Rift,underground city,Skeleton Captain Clatterbones,Mischievous Pixie,3,"1 Skeleton Captain Clatterbones (Elite), 4 Mushroom Walkers, 2 Slime Smalls, 4 Feral Chickens",Kill Skeleton Captain Clatterbones and return physical proof of the kill to the Guild,30,Wand,Holy,3,E
6269,D,Feywilds,None,Gnoll Hunter Scarfang,Bog Frog Poisoned,5,"1 Gnoll Hunter Scarfang, 6 Elite Undead Farmers, 10 Skeleton Rattle Guardians, 8 Scout Mudcrabs",Drive off Gnoll Hunter Scarfang before it destroys the harvest fields,20,Chakram / Bow,Physical,2,E
6270,F,Underdark,None,Goblin Warrior Clubs,Spore Puff,2,"1 Goblin Warrior Clubs (Elite), 3 Insect Swarms, 4 Zombie Shuffles, 3 Slime Tinys",Defeat Goblin Warrior Clubs in the starter training zone under instructor supervision,20,Axe,Physical / Arcane,1,F
6271,E,Obsidian Fields,None,Skeleton Captain Clatterbones,Feral Chicken,4,"1 Skeleton Captain Clatterbones, 3 Skeleton Fragments, 4 Bats",Exterminate the small pack organized by Skeleton Captain Clatterbones near the river,30,Axe,Holy,4,F
6272,F,Abyssal Rift,None,Bandit Scout Patchwork,Slime Tiny,3,"1 Bandit Scout Patchwork + 1 Broken Skeleton Lieutenant, 4 Insect Swarms, 3 Rat Fodder",Clear Bandit Scout Patchwork from the village chicken coops before dawn,20,Soul Sword,Physical,1,F
6273,E,Shadowfell,None,Skeleton Captain Clatterbones,Cave Cricket,4,"1 Skeleton Captain Clatterbones + 1 Mischievous Pixie Lieutenant, 4 Mushroom Walkers, 4 Dust Bunny (Cursed) Fodder",Chase Skeleton Captain Clatterbones away from the village before it becomes a real threat,10,Soul Sword,Holy / Chaos,1,E
6274,C,Shadowfell,temple,Bandit Lord Cutthroat,Marsh Sprite,4,"1 Bandit Lord Cutthroat (Empowered), 4 Imp Champions, 8 Cultist Initiates",Kill Bandit Lord Cutthroat that has been raiding the local fishing docks at night,60,Soul Sword / Scythe,Physical,5,D
6275,S,Obsidian Fields,shipwreck,Giant Scorpion Empress,Stone Golem,6,"1 Giant Scorpion Empress (Empowered), 12 Ghoul Warrior Champions, 6 Harpy Fighters",Retrieve the enchanted tome sealed away inside Giant Scorpion Empress's heavily guarded stronghold,60,Warhammer,Ice,6,A
6276,D,Plains,village,Goblin Witch Doctor Hexbrew,Skeleton Rattle,2,"1 Goblin Witch Doctor Hexbrew, 8 Elite Imp Familiars, 6 Mudcrab Guardians, 8 Scout Cave Spider Smalls",Exterminate Goblin Witch Doctor Hexbrew that has been stealing food from the market,40,Bow,Physical,2,D
6277,S,Desert,rift gate,Golem Titan Graniax,Vampire Thrall,8,"1 Golem Titan Graniax, 30 Elemental Spirits, 12 Basilisk Youngs",Retrieve the enchanted tome sealed away inside Golem Titan Graniax's heavily guarded stronghold,70,Bow,Earth,4,A
6278,E,Forest,fort,Giant Rat Queen Mangefur,Mischievous Pixie,2,"1 Giant Rat Queen Mangefur, 4 Feral Chickens, 5 Dust Bunny (Cursed)s",Drive Giant Rat Queen Mangefur from the storage cellar before it eats all the supplies,30,Staff / Dagger,Poison / Water,4,F
6279,B,Swamp,shipwreck,Ogre Chief Skullcrush,Kobold Warrior,7,"1 Ogre Chief Skullcrush, 18 Elite Giant Spiders, 3 Hag Spawn Guardians, 3 Scout Plague Rats",Defeat Ogre Chief Skullcrush and collect its signature trophy as proof of the kill,40,Staff,Dark,4,C
6280,S,Abyssal Rift,None,Minotaur Warlord Ironhoof,Stone Golem,9,"1 Minotaur Warlord Ironhoof (Elite), 18 Wyvern Hatchlings, 18 Vampire Thralls, 6 Naga Guards",Eliminate Minotaur Warlord Ironhoof whose lair is poisoning the region's entire water supply,90,Greatsword,Water / Earth,4,A
6281,SS,Petrified Forest,ruins,Abyssal Kraken,Infernal Colossus Shard,10,"1 Abyssal Kraken (Elite), 16 Dread Specters, 16 Shadow Assassin Elites, 24 Frost Revenants",Slay Abyssal Kraken and recover the legendary hero's lost weapon before it is corrupted,90,Wand,Water,4,S
6282,F,Astral Void,ancient pyramid,Mushroom Spore Walker,Small Bat,3,"1 Mushroom Spore Walker (Elite), 6 Slime Tinys, 3 Broken Skeletons, 2 Baby Goblins",Kill Mushroom Spore Walker as your very first beginner's quest — welcome to the Guild,20,Arcane Staff,Poison,3,F
6283,E,Underdark,None,Mushroom Spore Giant,Cave Cricket,4,"1 Mushroom Spore Giant + 1 Mischievous Pixie Lieutenant, 2 Cave Crickets, 4 Rat Fodder",Exterminate the small pack organized by Mushroom Spore Giant near the river,30,Hand Cannon,Poison,3,E
6284,D,Coral Reef,city,Fire Imp Scorchtail,Slime Drop,3,"1 Fire Imp Scorchtail, 8 Elite Mudcrabs, 4 Undead Farmer Guardians, 2 Scout Imp Familiars",Kill Fire Imp Scorchtail and report details of its nesting location to the Guild,30,Water Staff / Crossbow,Physical / Water,3,D
6285,C,Deep Ocean,floating fortress,Sand Worm Dunestalker,Cave Moth,4,"1 Sand Worm Dunestalker (Elite), 4 Orc Lackeys, 4 Marsh Sprites, 6 Giant Rats",Exterminate the monster group under Sand Worm Dunestalker's command near the village,60,Soul Sword,Earth,5,D
6286,A,Underdark,ruins,Minotaur Champion Ironhorn,Dire Wolf,7,"1 Minotaur Champion Ironhorn, 16 Naga Sentrys, 8 Harpy Scouts",Eliminate Minotaur Champion Ironhorn from the ruins before it grows powerful enough to expand,50,Dual Daggers / Hand Cannon,Necrotic,6,B
6287,F,Tundra,None,Feral Cat Scratchclaw,Mischievous Sprite,1,"1 Feral Cat Scratchclaw, 6 Mischievous Sprites, 4 Baby Goblins",Deal with Feral Cat Scratchclaw that has been haunting the outhouse behind the guild hall,0,Crossbow,Void / Psychic,1,F
6288,A,Volcanic,camp,Sand Wyrm Duneglider,Medusa Snake,7,"1 Sand Wyrm Duneglider, 20 Medusa Snakes, 12 Undead Soldiers",Track and kill Sand Wyrm Duneglider stalking pilgrims on the sacred road to the capital,80,Warhammer / Wand,Earth / Wind,6,B
6289,SS,Petrified Forest,colosseum,Magma Drake Ignaros,Shadow Assassin Elite,9,"1 Magma Drake Ignaros (Empowered), 48 Storm Elemental Champions, 8 Fire Titans",Slay Magma Drake Ignaros at the heart of the dungeon threatening to collapse the region,90,Axe,Water,5,S + [LEGENDARY] Dawnbringer (Holy Longsword)
